Label,Full Name,Combination,Dry,Normal,Oily,Sensitive,Hazard (bio) Score,Price (Euro),Online Review,img_url,Product Utilities,
Moisturizer,SHISEIDO Eudermine Revitalizing Essence,1,1,1,1,1,5,78,4.8,https://shiseido.ipscdn.net/sa1/on/demandware.static/-/Sites-itemmaster_shiseido/default/dw3373d138/images/2022/July/Top25/9991000000003_1.jpg,38,
Moisturizer,ORIGINS GinZing™ Energy-Boosting Gel Moisturizer,1,1,1,1,1,5,33,4.7,https://cdn.cosmostore.org/cache/front/shop/products/313/1008267/650x650.jpg,1389,
Moisturizer,ESTÉE LAUDER Micro Essence Skin Activating Treatment Lotion,1,1,1,1,1,4,121,4.3,https://cdn.cosmostore.org/cache/front/shop/products/489/1478664/350x350.jpg,38,
Moisturizer,SON & PARK Beauty Water,1,1,1,1,1,5,23,4.5,https://m.media-amazon.com/images/I/51PDeLwsLoL._SL1200_.jpg,138,
Moisturizer,TATCHA The Silk Cream,1,1,1,0,1,3,116,4.3,https://www.tatcha.com/on/demandware.static/-/Sites-master_catalog_tatcha/default/dwc280f7b5/images/large/Silk-Cream-New-Crop-V2.1.21.jpg,1489,
Moisturizer,OLEHENRIKSEN C-Rush™ Brightening Gel Crème,1,1,1,1,1,8,47,4.6,https://cdn.shopify.com/s/files/1/0615/7785/5148/products/60891_grande.jpg?v=1659722069,1289,
Moisturizer,AMOREPACIFIC Color Control Cushion Compact Broad Spectrum SPF 50+,1,1,1,1,1,7,69,4.4,https://m.media-amazon.com/images/I/71lzVH-PVDL.jpg,1248,
Moisturizer,BOBBI BROWN Vitamin Enriched Face Base Priming Moisturizer,1,0,1,1,0,6,92,4.7,https://www.sephora.com/productimages/sku/s1292820-main-zoom.jpg,8,
Moisturizer,DR. JART+ Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,1,1,1,1,1,6,48,4,https://www.sephora.com/productimages/sku/s1936202-main-zoom.jpg,17,
Moisturizer,CAUDALIE Vinosource Moisturizing Sorbet,1,1,1,1,1,6,25,4.2,https://caudalie-europe.imgix.net/media/catalog/product/3/3/333_sorbet__01.jpg,83,
Moisturizer,HERBIVORE Lapis Oil Balancing Facial Oil,1,0,1,1,0,2,67,4.3,https://www.sephora.com/productimages/sku/s1754613-main-zoom.jpg,63,
Moisturizer,ERBORIAN CC Crème High Definition Radiance Face Cream Skin Perfector,1,1,1,1,1,9,42,4.6,https://usa.erborian.com/on/demandware.static/-/Sites-erb_master/default/dw388c0e57/large/Product%20Images/CC%20Collection/6AA30104.png,8,
Moisturizer,SMASHBOX Camera Ready BB Cream SPF 35,1,1,1,1,1,5,25,4.4,https://cdn.cosmostore.org/cache/front/shop/products/307/984096/650x650.jpg,89,
Moisturizer,SUNDAY RILEY C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer,1,1,1,1,1,6,60,4.6,https://www.sephora.com/productimages/sku/s1904960-main-zoom.jpg,89,
Moisturizer,FARSÁLI Rose Gold Elixir – 24k Gold Infused Beauty Oil,1,1,1,0,0,4,50,4,https://images-na.ssl-images-amazon.com/images/I/21HLpftgupL.jpg,84,
Moisturizer,IT COSMETICS Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,1,1,1,1,1,10,41,4.4,https://www.itcosmetics.ca/dw/image/v2/AATL_PRD/on/demandware.static/-/Sites-itcosmetics-master-catalog/default/dw4384e020/product-images/2019/CC%20Illumination/it-cosmetics-cc-cream-illumination-product-shot-05-medium.jpg,89,
Moisturizer,TATCHA Luminous Dewy Skin Night Concentrate,1,1,1,0,1,3,180,4.6,https://www.mecca.com.au/on/demandware.static/-/Sites-mecca-online-catalog/default/dw41539e2a/product/tatcha/hr/i-027981-luminous-dewy-skin-night-concentrate-1-940.jpg,84,
Moisturizer,GLAMGLOW GLOWSTARTER™ Mega Illuminating Moisturizer,1,1,1,1,0,8,42,4.1,https://www.sephora.com/productimages/sku/s1826437-main-zoom.jpg,8,
Moisturizer,ESTÉE LAUDER Revitalizing Supreme Global Anti-Aging Crème,1,1,1,1,1,7,107,4.8,https://cdn.cosmostore.org/cache/front/shop/products/481/1445432/350x350.jpg,4,
Moisturizer,DR. JART+ Ceramidin™ Cream,1,1,1,0,1,4,36,4.8,https://www.drjart.com/media/export/cms/products/1000x1000/dj_sku_H6MM01_1000x1000_0.jpg,8,
Moisturizer,SUNDAY RILEY Juno Antioxidant + Superfood Face Oil,0,1,1,0,1,1,61,4.9,https://www.sephora.com/productimages/sku/s1418607-main-zoom.jpg,9,
Moisturizer,FRESH Seaberry Moisturizing Face Oil,1,1,1,1,1,6,47,4.7,https://m.media-amazon.com/images/I/51M4ygjSMWL.jpg,9,
Moisturizer,LANEIGE BB Cushion Hydra Radiance SPF 50,1,1,1,1,1,9,34,4.6,https://i5.walmartimages.com/asr/8fe166c0-dec2-43af-8cdf-46d833a570b2_1.f0c3a2edf75d2f453021cf007068f2e4.jpeg,98,
Moisturizer,AMOREPACIFIC FUTURE RESPONSE Age Defense Creme,1,1,1,1,1,7,37,3.5,https://cdn.cosmostore.org/cache/front/shop/products/51/130455/350x350.jpg,49,
Moisturizer,GLAMGLOW THIRSTYMUD™ Hydrating Treatment,1,1,1,1,0,7,56,4.5,https://www.glamglow.com/media/export/cms/products/1000x1000/gg_sku_G03R01_1000x1000_0.jpg,8,
Moisturizer,FARMACY Honey Drop Lightweight Moisturizer with Echinacea GreenEnvy™,1,1,1,1,1,5,45,4.8,https://dy6g3i6a1660s.cloudfront.net/vcCTHYab5JXDhJUBx1alfwR-BH4/p_550x550-a1/farmacy-honey-drop-lightweight-moisturizer.jpg,8,
Moisturizer,PETER THOMAS ROTH Water Drench Hyaluronic Cloud Cream,1,1,1,1,1,5,50,4.6,https://m.media-amazon.com/images/I/81M7nWEnmjL._SL1500_.jpg,8,
Moisturizer,AMOREPACIFIC Vintage Single Extract Essence,1,1,1,1,0,2,163,4.5,https://cdn.shopify.com/s/files/1/0097/9340/4964/products/VSEE_70ml.jpg,9,
Moisturizer,IT COSMETICS Confidence in a Cream™ Transforming Moisturizing Super Cream,1,1,1,1,1,7,73,4.7,https://m.media-amazon.com/images/I/71BR0X8yUzL._SL1500_.jpg,123456789,
Moisturizer,FRESH Black Tea Corset Cream Firming Moisturizer,1,1,1,1,0,7,116,4.2,https://www.fresh.com/dw/image/v2/BDJQ_PRD/on/demandware.static/-/Sites-fresh_master_catalog/default/dwfc325028/product_images/H00004211_main_pdp.jpg?sw=800&sh=800&bgcolor=F7F7F8&sfrm=jpg,248,
Moisturizer,FRESH Crème Ancienne®,1,1,1,1,1,4,321,4.5,https://www.fresh.com/dw/image/v2/BDJQ_PRD/on/demandware.static/-/Sites-fresh_master_catalog/default/dw2f3f4650/product_images/H00006076_main_pdp.jpg?sw=800&sh=800&bgcolor=F7F7F8&sfrm=jpg,12345678,
Moisturizer,FIRST AID BEAUTY Hello FAB Coconut Skin Smoothie Priming Moisturizer,1,1,1,1,1,7,30,4.4,https://cdn11.bigcommerce.com/s-65cfp7jfhx/images/stencil/1280x1280/products/527/3581/1._Coconut_Skin_Smoothie_Lead_PDP_Image__89588.1658872378.jpg?c=1,389,
Moisturizer,IT COSMETICS Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,1,1,1,1,1,10,67,4.4,https://www.sephora.com/productimages/sku/s2019248-main-zoom.jpg,1247,
Moisturizer,SHISEIDO Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,0,1,1,0,0,8,93,4.7,https://i5.walmartimages.com/asr/678e0c46-e222-4f64-b84a-3886cfa8d524_1.597218660d49452e173c74ac2b699d6d.jpeg,2489,
Moisturizer,FRESH Rose Floral Toner,1,1,1,1,0,3,55,4.1,https://cdn.cosmostore.org/cache/front/shop/products/457/1346652/650x650.jpg,1589,
Moisturizer,ORIGINS High-Potency Night-a-Mins™ Oil-Free Resurfacing Cream with Fruit-Derived AHAs,0,0,1,1,0,3,48,4,https://www.origins.eu/media/export/cms/products/1000x1000/origins_sku_0RPC01_1000x1000_0.jpg,3458,
Moisturizer,TARTE Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,1,1,1,1,0,7,36,4.5,https://www.sephora.com/productimages/sku/s1226497-main-zoom.jpg,12459,
Moisturizer,CLINIQUE Moisture Surge Intense Skin Fortifying Hydrator,1,1,0,0,0,6,22,4.6,https://m.media-amazon.com/images/I/61UuABBuzaL.jpg,1348,
Moisturizer,JOSIE MARAN Argan Daily Moisturizer SPF 47,1,1,1,1,1,9,32,4.6,https://www.sephora.com/productimages/sku/s1801489-main-zoom.jpg,12459,
Moisturizer,LANEIGE Water Bank Essence,1,1,1,1,1,7,42,4.8,https://cdn.cosmostore.org/cache/front/shop/products/293/928509/350x350.jpg,138,
Moisturizer,JACK BLACK Double-Duty Face Moisturizer Broad Spectrum SPF 20,1,1,1,0,0,7,28,4.6,https://cdn.cosmostore.org/cache/front/shop/products/477/1420439/350x350.jpg,149,
